date,oil_volume,liquid_volume,gas_volume,water_volume,water_cut,working_hours,dynamic_level,reservoir_pressure
2013-01-01 00:00:00,49,70,13055,21,29,24,1819,214
2013-01-02 00:00:00,49,70,13055,21,29,24,1836,214
2013-01-03 00:00:00,49,70,13055,21,29,24,1788,214
2013-01-04 00:00:00,49,70,13055,21,29,24,1789,214
2013-01-05 00:00:00,44,70,11768,26,36,24,1825,214
2013-01-06 00:00:00,44,70,11768,26,36,24,1781,214
2013-01-07 00:00:00,43,68,11432,25,36,24,1790,214
2013-01-08 00:00:00,43,68,11432,25,36,24,1784,214
2013-01-09 00:00:00,43,68,11432,25,36,24,1831,214
2013-01-10 00:00:00,43,68,11432,25,36,24,1831,214
2013-01-11 00:00:00,43,68,11432,25,36,24,1828,214
2013-01-12 00:00:00,42,68,11253,26,37,24,1761,214
2013-01-13 00:00:00,43,69,11418,26,37,24,1789,214
2013-01-14 00:00:00,43,69,11418,26,37,24,1764,213
2013-01-15 00:00:00,44,71,11749,27,37,24,1764,213
2013-01-16 00:00:00,44,71,11749,27,37,24,1764,213
2013-01-17 00:00:00,44,71,11749,27,37,24,1754,213
2013-01-18 00:00:00,44,71,11749,27,37,24,1763,213
2013-01-19 00:00:00,46,70,12319,24,33,24,1768,213
2013-01-20 00:00:00,46,70,12319,24,33,24,1785,213
2013-01-21 00:00:00,44,70,11768,26,36,24,1788,213
2013-01-22 00:00:00,44,70,11768,26,36,24,1779,213
2013-01-23 00:00:00,44,70,11768,26,36,24,1786,213
2013-01-24 00:00:00,43,69,11600,26,36,24,1769,213
2013-01-25 00:00:00,43,69,11418,26,37,24,1781,213
2013-01-26 00:00:00,43,69,11418,26,37,24,1789,213
2013-01-27 00:00:00,43,69,11418,26,37,24,1785,213
2013-01-28 00:00:00,43,69,11418,26,37,24,1787,213
2013-01-29 00:00:00,43,69,11418,26,37,24,1779,213
2013-01-30 00:00:00,43,69,11418,26,37,24,1780,213
2013-01-31 00:00:00,47,70,12503,23,32,24,1780,213
2013-02-01 00:00:00,47,70,12503,23,32,24,1774,213
2013-02-02 00:00:00,47,72,12671,25,33,24,1766,213
2013-02-03 00:00:00,47,75,12608,28,36,24,1783,213
2013-02-04 00:00:00,47,75,12608,28,36,24,1770,213
